"id","catalog_no","title","author_name","published_year","pages","language","status","source","category1","category2"
"1511","RE0004","ද්‍රව්‍යගුණ නිඝණ්ටුව","ජි ඩබ් ගේබ්‍රියෙල් ගුණවර්ධන","1912-01-01",334,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1512","RE0005","නාඩි ඥානතරංගිණිය","ජේ පි ජයතිලක වෙද අප්පුහාමි","1892-01-01",30,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1513","RE0006","නාඩි ප්‍රකාශය","දොන් හරමානිස් අල්විස්","1890-01-01",24,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1514","RE0007","පුරාණ සර්ප විෂ චිකිත්සා",NULL,"1948-01-01",190,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1515","RE0008","භාරත රෝග නිවාරණ ක්‍රම","මඩබාවිට විජයසෝම හිමි","1977-01-01",40,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1516","RE0009","භෙෂජසංග්‍රහව","ඇන් ඒ පෙරේරා","1892-01-01",36,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1517","RE0010","භෛෂජ්‍ය දර්‍පණය",NULL,NULL,68,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1518","RE0011","භෛෂජ්යදර්පණය","ජේ පෙරේරා",NULL,98,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1519","RE0012","මාධවනිදාන","බටුවන්තුඩාවේ පඬිතුමා","1859-01-01",470,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1520","RE0013","යොග මාලාව හෙවත් සත්‍යාසාර යෝග සංග්‍රහව","සරදියෙල් අප්පුහාමි","1892-01-01",20,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1521","RE0014","යොගශතකය","බටුවන්තුඩාවේ පඬිතුමා","1898-01-01",44,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1522","RE0015","යොගාර්ණවය","කිරිඇල්ලේ ඤාණවිමල නා හිමි","1942-01-01",105,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1523","RE0016","යෝගරත්නාකරය","ජෝර්ජ් රන්දුනු සමරතුංග","1897-01-01",456,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1524","RE0017","යෝගසේකරය","ඇම් ඩි ආර් අප්පුහාමි","1902-01-01",78,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1525","RE0018","වටිකා ප්‍රකරණය",NULL,NULL,264,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1526","RE0019","වෛද්‍යක සාරාර්ථ සංග්‍රහය","ආරියදාස කුමාරසිංහ","1987-01-01",1272,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1527","RE0020","වෛද්‍යචින්තාමණි භෛෂද්‍ය සංග්‍රහව.","බි ජයසිංහ අප්පුහාමි","1909-01-01",572,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1528","RE0021","වෛද්‍යජීවනය","පුංචි බණ්ඩාර","1902-01-01",90,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1529","RE0022","ශාර්ඞගධර සංහිතාව","ආරියදාස කුමාරසිංහ","1962-01-01",284,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1530","RE0023","සතශෙලාකය","ඒකනායක කුරුප්පු ආරච්චි","1862-01-01",58,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1531","RE0024","සරස්වතී නිඝණ්ටුව","ජි ඩබ් ගේබ්‍රියෙල් ගුණවර්ධන","1918-01-01",146,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1532","RE0025","සිඞෞෂධ නිඝණ්ටුව","හරමානිස් සමරසිංහ","1911-01-01",172,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1533","RE0026","සුශ්‍රැත සංහිතාව","ආර් බුද්ධදාස","1962-01-01",1000,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1534","RE0027","සුශ්‍රැත නිදානස්ථානය","එච් ඩි අබේවර්ධන අප්පුහාමි","1891-01-01",102,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1535","RE0028","සුශ්‍රැත ශාරිරස්ථානය","බටුවන්තුඩාවේ පඬිතුමා","1882-01-01",122,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1632","RL0016","සිදත් සඟරා සන්නය",NULL,NULL,NULL,NULL,NULL,"National Library","ඉපැරණි ග්‍රන්ථ","සිංහල භාෂාව"
"1536","RE0029","සුශ්‍රැත සූත්‍රස්ථානය","එස් ඒබ්‍රහම් ප්‍රනාන්දු","1896-01-01",88,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1537","RE0030","සෙනෙහ විධිය හෙවත් බෙහෙත් තෙල් පොත.","ඇල් බි ප්‍රේරා","1902-01-01",108,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු"
"1538","RH0001","වුත්තෝදය, සන්නය, විවරණය හා ටීකාව","උදම්මිට ධම්මරක්ඛිතතිස්ස හිමි","1916-01-01",88,NULL,"Full","Path Nirwana","ඉපැරණි ග්‍රන්ථ","ඡන්දොලංකාර"
"1539","RH0002","සන්න සහිත වුත්තෝදය","විමලජෝති හිමි","1915-01-01",36,NULL,"Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","ඡන්දොලංකාර"
"1540","RH0003","සන්න සහිත වුත්තෝදය","විමලජෝති හිමි","1915-01-01",42,NULL,"Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","ඡන්දොලංකාර"
"1541","RH0004","එළුඡන්දසය",NULL,NULL,NULL,NULL,"Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","ඡන්දොලංකාර"
"1542","RH0005","එලු සඳස් ලකුණ.",NULL,NULL,NULL,NULL,"Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","ඡන්දොලංකාර"
"1543","RH0006","වුත්තාලංකාරය නම් වූ වුත්තෝදය වර්ණනාව","ගල්පොතුගොඩ ඤාණවංස හිමි","2021-01-01",NULL,NULL,"Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","ඡන්දොලංකාර"
"1544","RH0007","වුත්තෝදය ලංකානන්ද ව්‍යාඛ්‍යාව 01",NULL,NULL,NULL,NULL,"Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","ඡන්දොලංකාර"
"1545","RH0008","වුත්තෝදය ලංකානන්ද ව්‍යාඛ්‍යාව 02",NULL,NULL,NULL,NULL,"Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","ඡන්දොලංකාර"
"1546","RH0009","වෘත්ත මාලාඛ්යාව",NULL,NULL,NULL,NULL,"Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","ඡන්දොලංකාර"
"1547","RH0010","වෘත්තමාලව",NULL,NULL,NULL,NULL,"Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","ඡන්දොලංකාර"
"1548","RH0011","සඤ්ජීවනී ව්‍යාඛ්‍යා සහිත එලු සඳස් ලකුණ",NULL,NULL,NULL,NULL,"Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","ඡන්දොලංකාර"
"1549","RH0012","සරලාව්‍යාඛ්‍යා සහිත වෘත්තරත්නාකරය",NULL,NULL,NULL,NULL,"Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","ඡන්දොලංකාර"
"1550","RD0001","A Manual Of Sanskrit Composition And Translation","Mahadhyapaka Rakhaldas","1923-01-01",306,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1551","RD0002","Ardha-Magadhi","Dr P L Vaidya","1941-01-01",184,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1552","RD0003","Arkaprakasha",NULL,NULL,264,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1553","RD0004","Kavikalpadruma","Vopadewa Goswami","1876-01-01",52,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1554","RD0005","Kavyadarsa of Dandin","SK Belvalkar","1924-01-01",162,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1555","RD0006","Megha Dutha",NULL,NULL,132,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1556","RD0007","Megha Dutha","HH Wilson","1867-01-01",194,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1557","RD0008","Nala and Damayanthi","Norman M Penzer","1936-01-01",234,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1558","RD0009","Nalodaya",NULL,NULL,172,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1559","RD0010","Rajaprashasti","Pandit Jibananda Vidyasagar","1888-01-01",42,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1560","RD0011","Retnavali","Sri arshadeva","1832-01-01",112,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1561","RD0012","Taittriyopanisad","Swami Sarvananda","1942-01-01",174,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1562","RD0013","THE CATUHSATAKA OF ARYADEVA","Aryadewa","1931-01-01",330,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1563","RD0014","Uttara Rama Cheritra","Bhavabhuthi","1831-01-01",142,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1564","RD0015","Vachaspatya","Taranatha Tarkavachspathi","1873-01-01",834,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1565","RD0016","Vedanta-sara","ඇම් හිරියන්න","1929-01-01",86,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1566","RD0017","VIVEKACHUDAMANI","Sri Sankaracharya","1932-01-01",262,"Sanskrit","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1567","RD0018","අභිඥානශාකුන්තලය","පැළැනේ ශ්‍රි වජිරඤාන හිමි","1956-01-01",396,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1568","RD0019","අමර ශබ්දාවලී","W Jemis Fernando","1922-01-01",248,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1569","RD0020","අමරකොෂය","මැද්දේපොල","1934-01-01",366,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1570","RD0021","අමරුශතකය",NULL,NULL,NULL,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1571","RD0022","ඍතුසංහාරකාව්‍යය",NULL,NULL,NULL,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1572","RD0023","කවිකල්පද්‍රැම නාමධෙය මුග්ධබොධධාතුපාඨය",NULL,NULL,NULL,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1573","RD0024","කාව්‍යාදර්‍ශය",NULL,NULL,NULL,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1574","RD0025","ජානකීහරණ මහා කාව්‍යය","කුමාරදාස/ ධර්මාරාම හිමි","1891-01-01",344,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1575","RD0026","දශ කුමාර චරිත (පූර්ව පීඨිකා) මංගල ව්‍යාඛ්‍යානය",NULL,NULL,NULL,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1576","RD0027","දශකුමාර චරිත (උත්තර පිඨිකා) මංගල ව්‍යාඛ්‍යානය",NULL,NULL,NULL,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1577","RD0028","ධාතුරූපාවලිය හෙවත් සංස්කෘත ආඛ්‍යාතවරනැගිල්ල",NULL,NULL,NULL,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1578","RD0029","භක්ති ශතකය හෙවත් බෞද්ධ ශතකය",NULL,NULL,NULL,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1579","RD0030","භගවත්ගීතා",NULL,NULL,NULL,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1580","RD0031","මේඝදූතය",NULL,NULL,NULL,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
"1581","RD0032","යතිදූතම්",NULL,NULL,NULL,"Sinhala","Full","Paramaththa","ඉපැරණි ග්‍රන්ථ","සංස්කෘත භාෂාව හා සාහිත්‍ය"
